Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
26,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 06:01,(-),-17.894548°,25.826450°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
27,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 07:00,(-),-17.894500°,25.830833°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
28,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 08:00,(-),-17.894283°,25.829298°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
29,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 09:00,(-),-17.893850°,25.828215°,(-),<10 meters,0 km/h,7 Volt,27°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
30,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 10:00,(-),-17.890967°,25.827348°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
31,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 11:00,(-),-17.889150°,25.829783°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
32,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 12:00,(-),-17.888700°,25.834983°,(-),<10 meters,0 km/h,7 Volt,36°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
33,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 13:00,(-),-17.888417°,25.837282°,(-),<10 meters,0 km/h,7 Volt,38°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
34,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 14:00,(-),-17.887533°,25.837150°,(-),<10 meters,0 km/h,7 Volt,39°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
35,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 15:00,(-),-17.884117°,25.834667°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
36,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 16:00,(-),-17.881967°,25.836817°,(-),<10 meters,0 km/h,7 Volt,30°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
37,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 17:00,(-),-17.881948°,25.830115°,(-),<10 meters,0 km/h,7 Volt,33°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
38,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 18:00,(-),-17.878900°,25.825315°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
39,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 19:00,(-),-17.876967°,25.831198°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
40,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 20:00,(-),-17.872233°,25.845583°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
41,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 21:00,(-),-17.868565°,25.846967°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
42,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 22:00,(-),-17.867750°,25.846333°,(-),<10 meters,0 km/h,7 Volt,25°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
43,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 23:00,(-),-17.869432°,25.839150°,(-),<10 meters,0 km/h,7 Volt,24°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
44,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 00:00,(-),-17.867998°,25.842982°,(-),<10 meters,0 km/h,7 Volt,24°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
45,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 01:00,(-),-17.869065°,25.843233°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
46,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 02:00,(-),-17.868600°,25.841850°,(-),<10 meters,0 km/h,7 Volt,22°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
47,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 03:00,(-),-17.867915°,25.843615°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
48,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 04:00,(-),-17.868933°,25.841448°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
49,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 05:00,(-),-17.870317°,25.840198°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
50,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 06:00,(-),-17.877300°,25.835750°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
51,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 07:00,(-),-17.877300°,25.835733°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
52,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 08:00,(-),-17.882565°,25.830132°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
