"","ï..Time","Latitude","Longitude","doy","BulNum"
"6831","2019-05-03 11:00:32",-18.1710666666667,25.9370166666667,123,"3"
"602","2019-05-03 11:00:32",-17.99895,25.8060833333333,123,"5"
"605","2019-05-03 11:00:32",-17.8944666666667,25.84255,123,"6"
"601","2019-05-03 11:00:33",-17.9433166666667,25.7862166666667,123,"4"
"16","2019-05-03 15:00:32",-17.9166833333333,25.84045,123,"2"
"6791","2019-05-03 15:00:32",-18.1802166666667,25.9402,123,"3"
"642","2019-05-03 15:00:32",-18.0071833333333,25.81035,123,"5"
"645","2019-05-03 15:00:32",-17.8954166666667,25.84505,123,"6"
"671","2019-05-03 15:00:34",-18.233,26.2739333333333,123,"1"
"641","2019-05-03 15:01:28",-17.9347333333333,25.78995,123,"4"
"667","2019-05-03 19:00:32",-18.2268166666667,26.28905,123,"1"
"6751","2019-05-03 19:00:32",-18.1586833333333,25.9073166666667,123,"3"
"685","2019-05-03 19:00:32",-17.9093166666667,25.8628166666667,123,"6"
"682","2019-05-03 19:00:33",-18.0017333333333,25.8084166666667,123,"5"
"681","2019-05-03 19:00:50",-17.9370666666667,25.80605,123,"4"
"663","2019-05-03 23:00:32",-18.2384333333333,26.2907,123,"1"
"6711","2019-05-03 23:00:32",-18.15905,25.86675,123,"3"
"721","2019-05-03 23:00:32",-17.9346333333333,25.8100166666667,123,"4"
"722","2019-05-03 23:00:32",-18.0052,25.8093,123,"5"
"725","2019-05-03 23:00:32",-17.91875,25.8831166666667,123,"6"
"659","2019-05-04 03:00:32",-18.2397,26.2919,124,"1"
"6671","2019-05-04 03:00:32",-18.1404166666667,25.8809166666667,124,"3"
"763","2019-05-04 03:00:32",-17.93355,25.8079166666667,124,"4"
"767","2019-05-04 03:00:32",-18.0086833333333,25.8073,124,"5"
"7610","2019-05-04 03:00:32",-17.9115833333333,25.8823166666667,124,"6"
"20","2019-05-04 07:00:32",-17.9198333333333,25.8323833333333,124,"2"
"8010","2019-05-04 07:00:32",-17.8961,25.85185,124,"6"
"807","2019-05-04 07:01:02",-18.0124166666667,25.7928833333333,124,"5"
"6631","2019-05-04 07:01:03",-18.1477333333333,25.9103166666667,124,"3"
"803","2019-05-04 07:01:27",-17.93285,25.80145,124,"4"
"655","2019-05-04 08:00:32",-18.24075,26.2928666666667,124,"1"
"6591","2019-05-04 11:00:32",-18.14465,25.9217666666667,124,"3"
"843","2019-05-04 11:00:32",-17.94445,25.8090333333333,124,"4"
"847","2019-05-04 11:00:32",-18.00945,25.7819333333333,124,"5"
"8410","2019-05-04 11:00:32",-17.90295,25.8526666666667,124,"6"
"651","2019-05-04 12:00:32",-18.2408666666667,26.2902666666667,124,"1"
"6551","2019-05-04 15:00:32",-18.1444666666667,25.9174333333333,124,"3"
"883","2019-05-04 15:00:32",-17.9548166666667,25.8147333333333,124,"4"
"887","2019-05-04 15:00:32",-17.9979166666667,25.7927666666667,124,"5"
"8810","2019-05-04 15:00:32",-17.8905666666667,25.8575166666667,124,"6"
"647","2019-05-04 16:00:32",-18.2511666666667,26.2818,124,"1"
"6511","2019-05-04 19:00:32",-18.1318833333333,25.90055,124,"3"
"923","2019-05-04 19:00:32",-17.9453333333333,25.83655,124,"4"
"927","2019-05-04 19:00:32",-18.0125333333333,25.78615,124,"5"
"9210","2019-05-04 19:00:32",-17.8951,25.8536833333333,124,"6"
"643","2019-05-04 20:00:32",-18.2632666666667,26.27805,124,"1"
"24","2019-05-04 23:00:32",-17.9214,25.8288666666667,124,"2"
"6471","2019-05-04 23:00:32",-18.1365333333333,25.8818833333333,124,"3"
"963","2019-05-04 23:00:32",-17.9505666666667,25.8359833333333,124,"4"
"967","2019-05-04 23:00:32",-18.0289833333333,25.7911166666667,124,"5"
"9610","2019-05-04 23:00:32",-17.8906166666667,25.8610833333333,124,"6"
"639","2019-05-05 00:00:32",-18.2624666666667,26.2724166666667,125,"1"
"6431","2019-05-05 03:00:32",-18.1416,25.89265,125,"3"
"1003","2019-05-05 03:00:32",-17.9576666666667,25.8205,125,"4"
"1007","2019-05-05 03:00:32",-18.0343,25.7894333333333,125,"5"
"10010","2019-05-05 03:00:32",-17.89315,25.8570833333333,125,"6"
"635","2019-05-05 04:00:32",-18.2637333333333,26.2706666666667,125,"1"
"6391","2019-05-05 07:00:32",-18.15435,25.9094666666667,125,"3"
"10410","2019-05-05 07:00:32",-17.8900666666667,25.85455,125,"6"
"1047","2019-05-05 07:00:51",-18.0394333333333,25.7875833333333,125,"5"
"1043","2019-05-05 07:00:57",-17.9478333333333,25.7900666666667,125,"4"
"631","2019-05-05 08:00:32",-18.2682333333333,26.2646333333333,125,"1"
"6351","2019-05-05 11:00:32",-18.17815,25.9027166666667,125,"3"
"1083","2019-05-05 11:00:32",-17.9406,25.7795,125,"4"
"1087","2019-05-05 11:00:32",-18.0458666666667,25.7818333333333,125,"5"
"10810","2019-05-05 11:00:32",-17.9029,25.8525833333333,125,"6"
"627","2019-05-05 12:00:32",-18.2659833333333,26.2703333333333,125,"1"
"28","2019-05-05 15:00:32",-17.9106833333333,25.8432666666667,125,"2"
"6311","2019-05-05 15:00:32",-18.18165,25.90085,125,"3"
"1127","2019-05-05 15:00:32",-18.0259,25.766,125,"5"
"11210","2019-05-05 15:00:32",-17.9011833333333,25.85385,125,"6"
"1123","2019-05-05 15:01:03",-17.93785,25.7997833333333,125,"4"
"623","2019-05-05 16:00:32",-18.27005,26.2818666666667,125,"1"
"6271","2019-05-05 19:00:32",-18.1738333333333,25.8913666666667,125,"3"
"1163","2019-05-05 19:00:32",-17.9341166666667,25.81585,125,"4"
"1167","2019-05-05 19:00:32",-18.0121833333333,25.7784333333333,125,"5"
"11610","2019-05-05 19:00:32",-17.9074666666667,25.8746833333333,125,"6"
"619","2019-05-05 20:00:32",-18.2763333333333,26.2612333333333,125,"1"
"1203","2019-05-05 23:00:32",-17.9168,25.8175333333333,125,"4"
"1207","2019-05-05 23:00:32",-18.02315,25.7930666666667,125,"5"
"12010","2019-05-05 23:00:32",-17.9126666666667,25.8837166666667,125,"6"
"615","2019-05-06 00:00:32",-18.2818666666667,26.2486833333333,126,"1"
"6231","2019-05-06 00:00:32",-18.1575666666667,25.8916166666667,126,"3"
"1243","2019-05-06 03:00:32",-17.9206,25.81255,126,"4"
"1247","2019-05-06 03:00:32",-18.0252666666667,25.7905666666667,126,"5"
"12410","2019-05-06 03:00:32",-17.91385,25.8853833333333,126,"6"
"611","2019-05-06 04:00:32",-18.2822333333333,26.2560333333333,126,"1"
"6191","2019-05-06 04:00:33",-18.15535,25.8933833333333,126,"3"
"32","2019-05-06 07:00:32",-17.92005,25.8319833333333,126,"2"
"1283","2019-05-06 07:00:32",-17.92765,25.8070666666667,126,"4"
"12810","2019-05-06 07:00:32",-17.9139666666667,25.8881166666667,126,"6"
"1287","2019-05-06 07:01:00",-18.0364,25.7902,126,"5"
"607","2019-05-06 08:00:32",-18.2792,26.2767166666667,126,"1"
"6151","2019-05-06 08:00:32",-18.1634166666667,25.9144666666667,126,"3"
"1323","2019-05-06 11:00:32",-17.9449333333333,25.8085166666667,126,"4"
"1327","2019-05-06 11:00:32",-18.04395,25.7878,126,"5"
"13210","2019-05-06 11:00:32",-17.9127333333333,25.8971333333333,126,"6"
"603","2019-05-06 12:00:32",-18.2693,26.3088666666667,126,"1"
"6111","2019-05-06 12:00:32",-18.1621166666667,25.9441,126,"3"
"1363","2019-05-06 15:00:32",-17.9540833333333,25.8218666666667,126,"4"
"13610","2019-05-06 15:00:32",-17.9098666666667,25.8984666666667,126,"6"
"1367","2019-05-06 15:00:57",-18.0231166666667,25.7695333333333,126,"5"
"599","2019-05-06 16:00:32",-18.2588833333333,26.2922333333333,126,"1"
"6071","2019-05-06 16:00:32",-18.1677333333333,25.9486833333333,126,"3"
"36","2019-05-06 18:00:32",-17.9186666666667,25.8392666666667,126,"2"
"1403","2019-05-06 19:00:32",-17.9406666666667,25.8347,126,"4"
"1407","2019-05-06 19:00:32",-18.0036833333333,25.79025,126,"5"
"14010","2019-05-06 19:00:32",-17.91305,25.8989,126,"6"
"595","2019-05-06 20:00:32",-18.2475,26.2815166666667,126,"1"
"6031","2019-05-06 20:00:32",-18.20835,25.9644333333333,126,"3"
"40","2019-05-06 22:00:32",-17.9206166666667,25.8317166666667,126,"2"
"1443","2019-05-06 23:00:32",-17.95475,25.82775,126,"4"
"14410","2019-05-06 23:00:32",-17.9147333333333,25.9081333333333,126,"6"
"591","2019-05-07 00:00:32",-18.2473666666667,26.2747333333333,127,"1"
"5991","2019-05-07 00:00:32",-18.2073833333333,25.9751833333333,127,"3"
"1447","2019-05-07 00:00:33",-17.99655,25.7908,127,"5"
"44","2019-05-07 02:00:32",-17.9197666666667,25.8296166666667,127,"2"
"1482","2019-05-07 03:00:32",-17.9567666666667,25.8156,127,"4"
"1486","2019-05-07 03:00:32",-17.91215,25.8951666666667,127,"6"
"5951","2019-05-07 04:00:32",-18.1939,25.9726,127,"3"
"587","2019-05-07 04:00:33",-18.2464333333333,26.2746833333333,127,"1"
"1483","2019-05-07 04:00:51",-18.0055166666667,25.7934333333333,127,"5"
"48","2019-05-07 06:00:33",-17.9207,25.8273666666667,127,"2"
"1522","2019-05-07 07:00:32",-17.9493166666667,25.8078833333333,127,"4"
"1526","2019-05-07 07:00:32",-17.9126333333333,25.8925166666667,127,"6"
"583","2019-05-07 08:00:32",-18.24575,26.2736833333333,127,"1"
"5911","2019-05-07 08:00:32",-18.1667333333333,25.9655166666667,127,"3"
"1523","2019-05-07 08:00:32",-18.0086833333333,25.7929833333333,127,"5"
"52","2019-05-07 11:00:32",-17.91295,25.8302666666667,127,"2"
"1562","2019-05-07 11:00:32",-17.93865,25.8083833333333,127,"4"
"1566","2019-05-07 11:00:32",-17.91465,25.8861333333333,127,"6"
"579","2019-05-07 12:00:32",-18.2455666666667,26.2747,127,"1"
"1563","2019-05-07 12:00:32",-18.0048166666667,25.7897,127,"5"
"5871","2019-05-07 12:00:35",-18.1574,25.9720333333333,127,"3"
"56","2019-05-07 15:00:32",-17.9157166666667,25.8382,127,"2"
"1602","2019-05-07 15:00:32",-17.9376166666667,25.8110333333333,127,"4"
"1606","2019-05-07 15:00:32",-17.9152333333333,25.887,127,"6"
"575","2019-05-07 16:00:32",-18.2425333333333,26.2825,127,"1"
"5831","2019-05-07 16:00:32",-18.1795166666667,25.9919833333333,127,"3"
"1603","2019-05-07 16:00:32",-18.0054666666667,25.7885166666667,127,"5"
"1642","2019-05-07 19:00:32",-17.9346166666667,25.8204166666667,127,"4"
"60","2019-05-07 19:00:33",-17.9143833333333,25.8403333333333,127,"2"
"1646","2019-05-07 19:01:03",-17.9189,25.87105,127,"6"
"571","2019-05-07 20:00:32",-18.2433,26.2826,127,"1"
"5791","2019-05-07 20:00:32",-18.2062166666667,26.0332,127,"3"
"1643","2019-05-07 20:00:32",-18.0015833333333,25.81015,127,"5"
"64","2019-05-07 23:00:32",-17.9179,25.82975,127,"2"
"1682","2019-05-07 23:00:32",-17.9134833333333,25.8225166666667,127,"4"
"1686","2019-05-07 23:00:32",-17.9126166666667,25.86985,127,"6"
"567","2019-05-08 00:00:32",-18.242,26.2845666666667,128,"1"
"5751","2019-05-08 00:00:32",-18.207,26.0465166666667,128,"3"
"1683","2019-05-08 01:00:32",-18.0085333333333,25.8077833333333,128,"5"
"68","2019-05-08 03:00:32",-17.9197,25.82375,128,"2"
"1722","2019-05-08 03:00:32",-17.9205833333333,25.81255,128,"4"
"1726","2019-05-08 03:00:32",-17.9141666666667,25.8766333333333,128,"6"
"5711","2019-05-08 04:00:32",-18.17835,26.0366666666667,128,"3"
"563","2019-05-08 04:00:33",-18.2441833333333,26.2893333333333,128,"1"
"1723","2019-05-08 05:00:32",-18.0090833333333,25.80615,128,"5"
"72","2019-05-08 07:00:32",-17.9167,25.8243,128,"2"
"1762","2019-05-08 07:00:32",-17.9247166666667,25.8065,128,"4"
"1766","2019-05-08 07:00:32",-17.9218333333333,25.8774333333333,128,"6"
"559","2019-05-08 08:00:32",-18.24,26.28975,128,"1"
"5671","2019-05-08 08:00:32",-18.1608666666667,26.0419166666667,128,"3"
"1763","2019-05-08 09:00:32",-17.99945,25.8066666666667,128,"5"
"76","2019-05-08 11:00:32",-17.91565,25.83675,128,"2"
"1802","2019-05-08 11:00:32",-17.9393166666667,25.8058,128,"4"
"1806","2019-05-08 11:00:32",-17.9112,25.89355,128,"6"
"555","2019-05-08 12:00:32",-18.23885,26.2867,128,"1"
"5631","2019-05-08 12:00:32",-18.1606166666667,26.0490333333333,128,"3"
"1803","2019-05-08 13:00:32",-18.0086666666667,25.8088333333333,128,"5"
"80","2019-05-08 15:00:32",-17.90985,25.8431333333333,128,"2"
"1842","2019-05-08 15:00:32",-17.9367166666667,25.8108166666667,128,"4"
"1846","2019-05-08 15:00:32",-17.9036333333333,25.9032333333333,128,"6"
"551","2019-05-08 16:00:32",-18.24665,26.2850166666667,128,"1"
"5591","2019-05-08 16:00:32",-18.15145,26.0565166666667,128,"3"
"1843","2019-05-08 17:00:32",-18.0060833333333,25.80825,128,"5"
"84","2019-05-08 19:00:32",-17.91775,25.8391,128,"2"
"1882","2019-05-08 19:00:32",-17.9512833333333,25.8150833333333,128,"4"
"1886","2019-05-08 19:00:33",-17.9075833333333,25.8983166666667,128,"6"
"547","2019-05-08 20:00:32",-18.2467833333333,26.2819666666667,128,"1"
"5551","2019-05-08 20:00:32",-18.14515,26.0628,128,"3"
"1883","2019-05-08 21:00:32",-18.0105,25.7799833333333,128,"5"
"88","2019-05-08 23:00:32",-17.92075,25.82995,128,"2"
"1922","2019-05-08 23:00:32",-17.9608833333333,25.82435,128,"4"
"1926","2019-05-08 23:00:32",-17.9042833333333,25.8763833333333,128,"6"
"543","2019-05-09 00:00:32",-18.2673166666667,26.2719666666667,129,"1"
"5511","2019-05-09 00:00:32",-18.1929,26.0967333333333,129,"3"
"1923","2019-05-09 01:00:32",-18.01765,25.7805166666667,129,"5"
"1962","2019-05-09 03:00:32",-17.9608166666667,25.8206166666667,129,"4"
"1966","2019-05-09 03:00:32",-17.8945166666667,25.85805,129,"6"
"92","2019-05-09 03:01:04",-17.9201333333333,25.8332166666667,129,"2"
"539","2019-05-09 04:00:32",-18.2654,26.2702833333333,129,"1"
"5471","2019-05-09 04:00:32",-18.1772333333333,26.0789666666667,129,"3"
"1963","2019-05-09 05:00:32",-18.0256166666667,25.7734166666667,129,"5"
"2002","2019-05-09 07:00:32",-17.9561833333333,25.8194666666667,129,"4"
"96","2019-05-09 07:00:51",-17.92075,25.8324166666667,129,"2"
"5431","2019-05-09 08:00:32",-18.1698833333333,26.05255,129,"3"
"2006","2019-05-09 08:00:32",-17.8771,25.8331166666667,129,"6"
"535","2019-05-09 09:00:32",-18.2684666666667,26.2737,129,"1"
"2003","2019-05-09 09:00:32",-18.0370333333333,25.7770666666667,129,"5"
"100","2019-05-09 11:00:32",-17.9201166666667,25.82925,129,"2"
"2042","2019-05-09 11:00:32",-17.9533833333333,25.82345,129,"4"
"5391","2019-05-09 12:00:32",-18.1659833333333,26.04335,129,"3"
"2046","2019-05-09 12:00:32",-17.8728833333333,25.816,129,"6"
"531","2019-05-09 13:00:32",-18.2677333333333,26.2679166666667,129,"1"
