Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
26,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 05:00,(-),-18.061117°,25.755832°,(-),<10 meters,0 km/h,7 Volt,16°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
27,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 06:00,(-),-18.061050°,25.756582°,(-),<10 meters,0 km/h,7 Volt,15°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
28,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 07:00,(-),-18.060900°,25.757200°,(-),<10 meters,0 km/h,7 Volt,15°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
29,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 08:00,(-),-18.058398°,25.761683°,(-),<10 meters,0 km/h,7 Volt,17°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
30,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 09:00,(-),-18.056182°,25.770233°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
31,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 10:00,(-),-18.054300°,25.777867°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
32,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 11:00,(-),-18.054532°,25.784933°,(-),<10 meters,0 km/h,7 Volt,33°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
33,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 12:00,(-),-18.052432°,25.783765°,(-),<10 meters,0 km/h,7 Volt,36°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
34,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 13:00,(-),-18.052432°,25.783765°,(-),<10 meters,0 km/h,7 Volt,38°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
35,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 14:00,(-),-18.052432°,25.783798°,(-),<10 meters,0 km/h,7 Volt,39°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
36,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 15:00,(-),-18.052715°,25.783833°,(-),<10 meters,0 km/h,7 Volt,40°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
37,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 16:00,(-),-18.052415°,25.783798°,(-),<10 meters,0 km/h,7 Volt,39°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
38,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 17:00,(-),-18.053867°,25.784467°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
39,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 18:00,(-),-18.054917°,25.785467°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
40,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 19:00,(-),-18.054682°,25.785948°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
41,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 20:00,(-),-18.054167°,25.786015°,(-),<10 meters,0 km/h,7 Volt,29°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
42,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 21:00,(-),-18.054083°,25.785967°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
43,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 22:00,(-),-18.054067°,25.785798°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
44,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),2/9/2021 23:00,(-),-18.053750°,25.786265°,(-),<10 meters,0 km/h,7 Volt,25°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
45,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 00:00,(-),-18.054167°,25.786617°,(-),<10 meters,0 km/h,7 Volt,24°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
46,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 01:00,(-),-18.053200°,25.786617°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
47,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 02:00,(-),-18.051448°,25.786000°,(-),<10 meters,0 km/h,7 Volt,22°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
48,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 03:00,(-),-18.050950°,25.786733°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
49,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 04:00,(-),-18.050883°,25.786533°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
50,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 05:00,(-),-18.050698°,25.785983°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
51,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 06:00,(-),-18.050733°,25.785967°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
52,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 07:00,(-),-18.051032°,25.785683°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
53,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 08:00,(-),-18.051015°,25.784532°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
54,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 09:00,(-),-18.046600°,25.784232°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
55,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 10:00,(-),-18.044048°,25.783798°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
