Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 04:12,Every 30 minutes,-17.849230°,25.541767°,(-),10 meters,1 km/h,3.67 Volt,24°C,(-),Y,"[424,15594,3141]",N,5,N,1,
2,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 04:43,Every 30 minutes,-17.849398°,25.541992°,(-),10 meters,0 km/h,3.67 Volt,24°C,(-),N,"[601,15541,3254]",N,5,N,1,
3,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 05:12,Every 30 minutes,-17.849333°,25.541812°,(-),10 meters,0 km/h,3.67 Volt,25°C,(-),Y,"[3148,14421,5662]",N,3,Y,0,
4,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 05:43,Every 30 minutes,-17.849248°,25.541873°,(-),<10 meters,0 km/h,3.67 Volt,24°C,(-),Y,"[-733,835,16019]",N,5,Y,0,
5,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 06:12,Every 30 minutes,-17.849615°,25.542230°,(-),10 meters,0 km/h,3.67 Volt,23°C,(-),Y,"[1082,-14383,7704]",N,3,N,1,
6,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 06:42,Every 30 minutes,-17.849195°,25.542540°,(-),10 meters,0 km/h,3.67 Volt,22°C,(-),Y,"[731,-576,15912]",N,3,Y,0,
7,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 07:13,Every 30 minutes,-17.849865°,25.542055°,(-),10 meters,0 km/h,3.67 Volt,21°C,(-),Y,"[86,-324,16004]",N,5,N,1,
8,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 07:44,Every 30 minutes,-17.848785°,25.541943°,(-),10 meters,0 km/h,3.67 Volt,22°C,(-),Y,"[1020,-3042,15870]",N,5,Y,0,
9,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 08:14,Every 30 minutes,-17.848207°,25.541293°,(-),10 meters,0 km/h,3.67 Volt,22°C,(-),Y,"[116,-3322,15783]",N,5,Y,0,
10,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 08:43,Every 30 minutes,-17.847598°,25.541008°,(-),<10 meters,1 km/h,3.67 Volt,24°C,(-),Y,"[1004,-706,16121]",N,5,Y,0,
11,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 09:13,Every 30 minutes,-17.848358°,25.540333°,(-),10 meters,1 km/h,3.67 Volt,28°C,(-),Y,"[-858,-244,16019]",N,5,Y,0,
12,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 09:43,Every 30 minutes,-17.848988°,25.540142°,(-),10 meters,4 km/h,3.67 Volt,31°C,(-),Y,"[464,-771,15811]",N,5,Y,0,
13,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 10:13,Every 30 minutes,-17.849577°,25.540987°,(-),10 meters,0 km/h,3.67 Volt,32°C,(-),Y,"[193,-546,16026]",N,3,Y,1,
14,Bull 16: 4658,AWTIRDMVAPU539,IR-SAT Tag,63,1/9/2021 10:43,Every 30 minutes,-17.849177°,25.541665°,(-),10 meters,0 km/h,3.67 Volt,33°C,(-),N,"[248,-401,15949]",N,5,N,1,
