"","Time","Latitude","Longitude","doy","BulNum"
"447","2021-01-02 20:00:32",-18.1717333333333,25.7011666666667,2,"12"
"445","2021-01-02 21:00:32",-18.4946666666667,25.6771333333333,2,"9"
"446","2021-01-02 22:00:32",-18.1801833333333,25.4158,2,"10"
"481","2021-01-02 23:00:32",-17.9774833333333,25.3714833333333,2,"6"
"482","2021-01-02 23:00:32",-17.8832333333333,25.6460666666667,2,"7"
"48","2021-01-03 00:00:32",-18.3076,25.7985166666667,3,"2"
"483","2021-01-03 00:00:32",-17.9464,25.824,3,"8"
"487","2021-01-03 00:00:32",-18.1704166666667,25.71275,3,"12"
"485","2021-01-03 01:00:32",-18.4973666666667,25.6813333333333,3,"9"
"486","2021-01-03 02:00:32",-18.1802,25.4158,3,"10"
"521","2021-01-03 03:00:32",-17.9164666666667,25.3941333333333,3,"6"
"522","2021-01-03 03:00:32",-17.8832166666667,25.6461,3,"7"
"52","2021-01-03 04:00:32",-18.31105,25.7664666666667,3,"2"
"523","2021-01-03 04:00:33",-17.9489,25.8044833333333,3,"8"
"527","2021-01-03 04:01:05",-18.1713166666667,25.7087166666667,3,"12"
"525","2021-01-03 05:00:32",-18.48855,25.6782,3,"9"
"526","2021-01-03 06:00:32",-18.1802,25.4158,3,"10"
"561","2021-01-03 07:00:32",-17.9240333333333,25.4119666666667,3,"6"
"562","2021-01-03 07:00:32",-17.8832166666667,25.64605,3,"7"
"56","2021-01-03 08:00:32",-18.3116666666667,25.7494833333333,3,"2"
"563","2021-01-03 08:00:32",-17.9477,25.80045,3,"8"
"567","2021-01-03 08:00:32",-18.1537666666667,25.7059166666667,3,"12"
"565","2021-01-03 09:00:32",-18.4805333333333,25.6903333333333,3,"9"
"566","2021-01-03 10:00:32",-18.1802,25.4158,3,"10"
"601","2021-01-03 11:00:32",-17.9290333333333,25.4158666666667,3,"6"
"602","2021-01-03 11:00:32",-17.8832166666667,25.6460666666667,3,"7"
"60","2021-01-03 12:00:32",-18.3162666666667,25.7610166666667,3,"2"
"607","2021-01-03 12:00:32",-18.1280833333333,25.6857333333333,3,"12"
"603","2021-01-03 12:02:03",-17.9396833333333,25.7977,3,"8"
"605","2021-01-03 13:00:32",-18.4513333333333,25.7219833333333,3,"9"
"606","2021-01-03 14:00:32",-18.1802,25.4158166666667,3,"10"
"642","2021-01-03 15:00:32",-17.8832333333333,25.6460833333333,3,"7"
"64","2021-01-03 16:00:32",-18.3362833333333,25.7416166666667,3,"2"
"643","2021-01-03 16:00:32",-17.9403666666667,25.7952666666667,3,"8"
"647","2021-01-03 16:00:32",-18.1218833333333,25.6928833333333,3,"12"
"645","2021-01-03 17:00:32",-18.4563166666667,25.7225833333333,3,"9"
"641","2021-01-03 17:00:57",-17.9179666666667,25.4522666666667,3,"6"
"646","2021-01-03 18:00:32",-18.1802,25.4158,3,"10"
"682","2021-01-03 19:00:32",-17.8832166666667,25.6461166666667,3,"7"
"129","2021-01-03 19:00:32",-17.8830833333333,25.8343166666667,3,"14"
"68","2021-01-03 20:00:32",-18.3584666666667,25.7859,3,"2"
"683","2021-01-03 20:00:32",-17.9504666666667,25.8346333333333,3,"8"
"687","2021-01-03 20:00:32",-18.1262333333333,25.7127333333333,3,"12"
"681","2021-01-03 21:00:32",-17.9169833333333,25.4771833333333,3,"6"
"685","2021-01-03 22:00:32",-18.46715,25.7236666666667,3,"9"
"686","2021-01-03 22:00:32",-18.1802,25.4158,3,"10"
"722","2021-01-03 23:00:32",-17.8832166666667,25.6460666666667,3,"7"
"72","2021-01-04 00:00:32",-18.3642166666667,25.79165,4,"2"
