"","Date","Lat1","Long1","Lat2","Long2","Lat3","Long3","Lat4","Long4","Lat5","Long5","Lat6","Long6","Lat7","Long7","Lat8","Long8","Lat9","Long9","Lat10","Long10","Lat12","Long12","Lat13","Long13","Lat14","Long14","Lat15","Long15"
"1",1556683200,-18.2341083333333,26.2608055555556,-17.9730666666667,25.8437833333333,-18.1601527777778,25.9090277777778,-17.9485416666666,25.8195694444445,-18.004675,25.8067666666667,-17.8914555555556,25.852075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1556769600,-18.2164944444444,26.2609944444444,-17.9501916666666,25.8320833333333,-18.1446944444445,25.9191361111111,-17.950525,25.8121194444445,-18.0048388888889,25.8088166666667,-17.8878194444444,25.8273777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1556856000,-18.2268527777778,26.2795222222222,-17.9166833333333,25.84045,-18.1593444444445,25.9190138888889,-17.943775,25.8017305555556,-18.0041611111111,25.8083527777778,-17.9011527777778,25.8499027777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1556942400,-18.24715,26.2869766666667,-17.9206166666666,25.830625,-18.1409472222222,25.9021444444444,-17.9435944444445,25.8176111111111,-18.0116638888889,25.792025,-17.8978194444445,25.8598527777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1557028800,-18.2678,26.2701916666667,-17.9106833333333,25.8432666666667,-18.1659166666667,25.89941,-17.9391444444445,25.8038722222222,-18.0301388888889,25.782725,-17.9012388888889,25.8627444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1557115200,-18.2698305555556,26.2773416666667,-17.9197777777778,25.8343222222222,-18.1690888888889,25.9261138888889,-17.9404472222222,25.8187416666667,-18.0264833333333,25.78567,-17.9130333333333,25.8960222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1557201600,-18.2451583333333,26.27715,-17.9169027777778,25.8325888888889,-18.1851916666667,25.9850861111111,-17.9384083333333,25.8143055555555,-18.0037694444445,25.7942638888889,-17.9143638888889,25.8836194444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1557288000,-18.2430777777778,26.2862222222222,-17.9167333333333,25.8328305555555,-18.1672388888889,26.0489083333334,-17.9389166666667,25.8125166666667,-18.0070527777778,25.8029444444444,-17.91045,25.8875916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1557374400,-18.2722861111111,26.2640694444445,-17.9220611111111,25.8368361111111,-18.1765944444444,26.0558888888889,-17.9575805555556,25.8236777777778,-18.0251,25.7752916666667,-17.8683066666667,25.8141433333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1557460800,-18.2479333333333,26.2690638888889,-17.9247972222222,25.8425027777778,-18.1664305555556,25.9788694444444,-17.9553666666666,25.8039861111111,-18.0164583333333,25.7881833333333,-17.8018944444444,25.7685805555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
